Data	INF21_01	INF21_02	INF21_03	INF21_04	INF21_05	INF21_06
SVfin	0.391304347826087	0.7	0.586206896551724	0.666666666666667	0.620689655172414	0.5
W-VfinS	0	0.0666666666666667	0.0344827586206897	0	0.0344827586206897	0.166666666666667
XVfinS	0.347826086956522	0.1	0.206896551724138	0.19047619047619	0.103448275862069	0.277777777777778
XSVfin	0.0434782608695652	0.0333333333333333	0.0344827586206897	0.0476190476190476	0.0344827586206897	0
VfinS	0.0434782608695652	0.0333333333333333	0	0	0.0344827586206897	0.0555555555555556
OVinf	0.0434782608695652	0.0333333333333333	0	0.0476190476190476	0.0344827586206897	0
VinfO	0.0434782608695652	0	0.103448275862069	0	0.103448275862069	0
